platform,spark.io.compression.codec,spark.executor.cores,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.io.preferDirectBufs,spark.shuffle.spill.compress,spark.shuffle.compress,spark.locality.wait,spark.rdd.compress,spark.shuffle.file.buffer,spark.executor.memory,spark.storage.memoryFraction
9,0,10,48,0,0,0,0,3000,0,32,5,0.6
5,0,6,48,0,0,0,0,3000,0,32,5,0.6
100,1,4,48,0,0,0,0,3000,0,32,5,0.6
4,0,5,48,0,0,0,0,3000,0,32,5,0.6
13,0,4,48,0,0,0,0,3000,0,32,20,0.6
41,0,4,48,0,0,0,0,3000,0,64,5,0.6
49,0,4,48,0,0,0,0,3000,0,32,5,0.3
19,0,4,48,0,0,0,0,1,0,32,5,0.6
54,0,4,48,0,0,0,0,3000,0,32,5,0.9
15,0,4,48,0,0,0,0,3000,0,32,30,0.6
33,0,4,128,0,0,0,0,3000,0,32,5,0.6
26,0,4,48,0,0,0,0,5000,0,32,5,0.6
44,0,4,48,0,0,0,0,3000,0,256,5,0.6
39,0,4,48,0,0,0,0,3000,0,16,5,0.6
220,0,4,48,0,0,1,0,3000,0,32,5,0.6
27,0,4,48,0,0,0,0,10000,0,32,5,0.6
7,0,8,48,0,0,0,0,3000,0,32,5,0.6
50,0,4,48,0,0,0,0,3000,0,32,5,0.4
28,0,4,6,0,0,0,0,3000,0,32,5,0.6
10,0,4,48,0,0,0,0,3000,0,32,2,0.6
48,0,4,48,0,0,0,0,3000,0,32,5,0.2
21,0,4,48,0,0,0,0,50,0,32,5,0.6
1,0,1,48,0,0,0,0,3000,0,32,5,0.6
38,0,4,48,0,0,0,0,3000,0,8,5,0.6
46,0,4,48,0,0,0,0,3000,0,32,5,0.05
0,0,4,48,0,0,0,0,3000,0,32,5,0.6
53,0,4,48,0,0,0,0,3000,0,32,5,0.8
47,0,4,48,0,0,0,0,3000,0,32,5,0.1
24,0,4,48,0,0,0,0,1000,0,32,5,0.6
110,0,4,48,1,0,0,0,3000,0,32,5,0.6
18,0,4,48,0,0,0,0,3000,0,32,100,0.6
12,0,4,48,0,0,0,0,3000,0,32,15,0.6
32,0,4,96,0,0,0,0,3000,0,32,5,0.6
29,0,4,12,0,0,0,0,3000,0,32,5,0.6
42,0,4,48,0,0,0,0,3000,0,128,5,0.6
40,0,4,48,0,0,0,0,3000,0,48,5,0.6
52,0,4,48,0,0,0,0,3000,0,32,5,0.7
45,0,4,48,0,0,0,0,3000,0,512,5,0.6
210,0,4,48,0,0,0,1,3000,0,32,5,0.6
31,0,4,72,0,0,0,0,3000,0,32,5,0.6
6,0,7,48,0,0,0,0,3000,0,32,5,0.6
34,0,4,192,0,0,0,0,3000,0,32,5,0.6
11,0,4,48,0,0,0,0,3000,0,32,10,0.6
14,0,4,48,0,0,0,0,3000,0,32,25,0.6
51,0,4,48,0,0,0,0,3000,0,32,5,0.5
43,0,4,48,0,0,0,0,3000,0,192,5,0.6
200,0,4,48,0,0,0,0,3000,1,32,5,0.6
25,0,4,48,0,0,0,0,2000,0,32,5,0.6
120,0,4,48,0,1,0,0,3000,0,32,5,0.6
17,0,4,48,0,0,0,0,3000,0,32,70,0.6
2,0,2,48,0,0,0,0,3000,0,32,5,0.6
16,0,4,48,0,0,0,0,3000,0,32,50,0.6
3,0,3,48,0,0,0,0,3000,0,32,5,0.6
36,0,4,512,0,0,0,0,3000,0,32,5,0.6
30,0,4,24,0,0,0,0,3000,0,32,5,0.6
8,0,9,48,0,0,0,0,3000,0,32,5,0.6
35,0,4,256,0,0,0,0,3000,0,32,5,0.6
23,0,4,48,0,0,0,0,500,0,32,5,0.6
20,0,4,48,0,0,0,0,10,0,32,5,0.6
37,0,4,48,0,0,0,0,3000,0,4,5,0.6
22,0,4,48,0,0,0,0,100,0,32,5,0.6
