dataset,family,algorithm,platform,run,duration,schedulerDelay,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,resultSize,peakExecutionMemory,bytesRead,shuffleFetchWaitTime,shuffleTotalBytesRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleWriteTime,shuffleBytesWritten,fitTime
DHG,clustering,BKM,9,0,16559760,118497,16351418,11168366,89679,23628,166,287933,12418758,113934046,184885746776,17,3887905,6450,430,6020,882,3887905,155646.0
DHG,clustering,BKM,5,0,16514786,115388,16293617,10965975,105543,29502,238,189926,12420111,130710104,184885746776,20,3887898,6450,258,6192,970,3887898,155231.0
DHG,clustering,BKM,100,0,17509419,135000,17233266,11118804,140893,38415,260,158944,13257398,167221155,184898948086,20,4264399,6880,172,6708,1258,4264399,153323.0
DHG,clustering,BKM,4,0,16586810,120404,16346613,11113091,119536,31947,257,166127,12420847,130710244,184885746776,20,3887857,6450,215,6235,999,3887857,156090.0
DHG,clustering,BKM,13,0,13546025,88691,13371043,10175570,86088,28057,203,79257,9981428,222415723,184924893006,14,3112599,5160,172,4988,855,3112599,159441.0
DHG,clustering,BKM,41,0,17363346,134154,17092139,11225536,136797,38751,256,162196,13251857,167220471,184898948086,19,4147109,6880,172,6708,1083,4147109,152869.0
DHG,clustering,BKM,49,0,17568525,131797,17297375,11364640,139040,39010,313,164016,13253018,167219079,184898948086,21,4147116,6880,172,6708,1067,4147116,152599.0
DHG,clustering,BKM,19,0,17372544,141094,17089349,11115447,141830,38752,271,154658,13254050,167220214,184898948086,15,4147116,6880,172,6708,959,4147116,153800.0
DHG,clustering,BKM,54,0,17239012,132690,16967062,11121038,138961,38396,299,155706,13253577,167218691,184898948086,26,4147074,6880,172,6708,1059,4147074,152744.0
DHG,clustering,BKM,15,0,9567288,44230,9476290,8304903,46635,17717,133,48658,6792020,210511040,184878620686,9,2075062,3440,172,3268,565,2075062,165109.0
DHG,clustering,BKM,33,0,17538885,153838,17240675,11201520,144080,38859,292,155053,13253362,167218806,184898948086,18,4147098,6880,172,6708,1243,4147098,154517.0
DHG,clustering,BKM,26,0,17479552,135753,17207198,11299088,136328,38631,273,151475,13252975,167220373,184898948086,16,4147080,6880,172,6708,1327,4147080,154556.0
DHG,clustering,BKM,44,0,17386938,134287,17111551,11256126,140803,38835,297,159585,13252717,167221371,184898948086,12,4147107,6880,172,6708,1143,4147107,153717.0
DHG,clustering,BKM,39,0,17285777,133038,17008737,11096678,143711,38691,291,165249,13254394,167220565,184898948086,16,4147101,6880,172,6708,1358,4147101,153464.0
DHG,clustering,BKM,220,0,17421069,138144,17143965,11068242,138655,38943,305,171105,13253604,167221508,184898948086,13,4147115,6880,172,6708,1079,4147115,153632.0
DHG,clustering,BKM,27,0,17334286,135018,17063790,11121937,135172,38775,306,150001,13254609,167221314,184898948086,13,4147094,6880,172,6708,1243,4147094,154136.0
DHG,clustering,BKM,7,0,17299034,128922,17057447,11198130,112426,27345,239,274526,13252396,133665815,184898948086,20,4147067,6880,344,6536,1002,4147067,153215.0
DHG,clustering,BKM,50,0,17462666,133979,17182362,11237448,146057,38808,268,163525,13252803,167220491,184898948086,15,4147070,6880,172,6708,1085,4147070,155093.0
DHG,clustering,BKM,28,0,17486059,138188,17212575,11244652,135022,38944,274,161977,13252846,167220081,184898948086,17,4147108,6880,172,6708,1084,4147108,154656.0
DHG,clustering,BKM,10,0,17448861,132219,17180837,10988180,135472,38502,333,302483,13256243,116887513,184898948086,12,4147102,6880,172,6708,1522,4147102,154982.0
DHG,clustering,BKM,48,0,17435627,136568,17156323,11212227,142438,39063,298,166700,13252072,167221995,184898948086,18,4147108,6880,172,6708,1057,4147108,155220.0
DHG,clustering,BKM,21,0,17517294,136003,17244620,11264548,136397,38606,274,162079,13252803,167220372,184898948086,11,4147098,6880,172,6708,1215,4147098,154032.0
DHG,clustering,BKM,1,0,14161048,87859,13864667,10395607,208169,76875,353,44441,9989451,222414958,184924893006,29,3112590,5160,43,5117,1151,3112590,164725.0
DHG,clustering,BKM,38,0,17371014,133435,17099649,11172611,137639,38534,291,164450,13251857,167219143,184898948086,14,4147075,6880,172,6708,1054,4147075,152697.0
DHG,clustering,BKM,46,0,17527337,136441,17249200,11393057,141433,38841,263,156318,13252588,167220616,184898948086,13,4147116,6880,172,6708,1086,4147116,153891.0
DHG,clustering,BKM,0,0,17659195,128151,17384950,11387091,145831,38678,263,156884,13252502,167220911,184898948086,11,4147111,6880,172,6708,1225,4147111,154268.0
DHG,clustering,BKM,53,0,17351599,139672,17070543,11220200,141073,38409,311,157896,13253792,167218570,184898948086,13,4147103,6880,172,6708,1196,4147103,152994.0
DHG,clustering,BKM,47,0,17378105,135277,17094884,11238079,147675,38935,269,156915,13251943,167221040,184898948086,17,4147059,6880,172,6708,1026,4147059,154004.0
DHG,clustering,BKM,24,0,17382990,131874,17113921,11139475,136940,38808,255,158895,13252416,167219929,184898948086,16,4147051,6880,172,6708,1144,4147051,153649.0
DHG,clustering,BKM,110,0,17436107,142392,17149091,11267086,144196,38853,428,182439,12831189,167220343,184898948086,15,2414080,6880,172,6708,1204,2414080,154099.0
DHG,clustering,BKM,18,0,6281213,10501,6257753,6198951,12898,6560,61,24735,5202597,205462126,184905458006,5,1556302,2580,516,2064,642,1556302,350951.0
DHG,clustering,BKM,12,0,17483629,138904,17205803,11243577,138621,38821,301,115838,13249234,234329340,184898948086,24,4147079,6880,172,6708,1145,4147079,154548.0
DHG,clustering,BKM,32,0,17357797,136941,17083015,11168097,137538,38734,303,162219,13253620,167220543,184898948086,16,4147102,6880,172,6708,1244,4147102,154305.0
DHG,clustering,BKM,29,0,17417137,133597,17143469,11170073,139800,38501,271,164865,13252975,167220876,184898948086,12,4147131,6880,172,6708,1216,4147131,153694.0
DHG,clustering,BKM,42,0,17546895,135348,17268580,11365874,142701,39162,266,159396,13252588,167221121,184898948086,18,4147085,6880,172,6708,1041,4147085,154128.0
